    PID CMD
    832 avahi-daemon: chroot helper
    769 avahi-daemon: running [osc.local]
  19622 awk NR>0
  15089 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    770 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     54 [ecryptfs-kthread]
   1639 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1556 gdm-session-worker [pam/gdm-password]
  19372 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
     44 [irq/9-acpi]
    308 [jbd2/dm-0-8]
    514 [jbd2/sda2-8]
     31 [kauditd]
     37 [kcompactd0]
     29 [kdevtmpfs]
     40 [khugepaged]
     33 [khungtaskd]
     38 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     53 [kswapd0]
      2 [kthreadd]
  18944 [kworker/0:0-cgroup_destroy]
     10 [kworker/0:0H-kblockd]
  19550 [kworker/0:1]
  13412 [kworker/0:2-events]
    486 [kworker/0:2H]
  19276 [kworker/1:0-cgroup_destroy]
     26 [kworker/1:0H-events_highpri]
     52 [kworker/1:1H-kblockd]
  17881 [kworker/1:2-events]
     56 [kworker/R-acpi_]
     46 [kworker/R-ata_s]
     43 [kworker/R-blkcg]
     92 [kworker/R-charg]
    681 [kworker/R-crypt]
     50 [kworker/R-devfr]
     49 [kworker/R-edac-]
    309 [kworker/R-ext4-]
    515 [kworker/R-ext4-]
     30 [kworker/R-inet_]
     65 [kworker/R-ipv6_]
     42 [kworker/R-kbloc]
    266 [kworker/R-kdmfl]
     41 [kworker/R-kinte]
     73 [kworker/R-kstrp]
     55 [kworker/R-kthro]
     47 [kworker/R-md]
     48 [kworker/R-md_bi]
     64 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     59 [kworker/R-scsi_]
     61 [kworker/R-scsi_]
    144 [kworker/R-scsi_]
    147 [kworker/R-scsi_]
    149 [kworker/R-scsi_]
    151 [kworker/R-scsi_]
    153 [kworker/R-scsi_]
    155 [kworker/R-scsi_]
    158 [kworker/R-scsi_]
    164 [kworker/R-scsi_]
    166 [kworker/R-scsi_]
    169 [kworker/R-scsi_]
    171 [kworker/R-scsi_]
    173 [kworker/R-scsi_]
    176 [kworker/R-scsi_]
    178 [kworker/R-scsi_]
    188 [kworker/R-scsi_]
    196 [kworker/R-scsi_]
    200 [kworker/R-scsi_]
    204 [kworker/R-scsi_]
    211 [kworker/R-scsi_]
    213 [kworker/R-scsi_]
    215 [kworker/R-scsi_]
    217 [kworker/R-scsi_]
    219 [kworker/R-scsi_]
    221 [kworker/R-scsi_]
    223 [kworker/R-scsi_]
    225 [kworker/R-scsi_]
    227 [kworker/R-scsi_]
    229 [kworker/R-scsi_]
    231 [kworker/R-scsi_]
    233 [kworker/R-scsi_]
      6 [kworker/R-slub_]
     45 [kworker/R-tpm_d]
    140 [kworker/R-ttm]
     36 [kworker/R-write]
     11 [kworker/u4:0-ext4-rsv-conversion]
    420 [kworker/u4:1]
  19303 [kworker/u5:0-events_power_efficient]
  18418 [kworker/u5:1-events_power_efficient]
  19594 [kworker/u5:2-events_power_efficient]
  18805 [kworker/u5:3-events_unbound]
  18714 [kworker/u6:0-events_power_efficient]
  18748 [kworker/u6:1-events_unbound]
